Protocol,Size,Associativity,BlockSize,ProcNum,1_read,1_readMiss,1_write,1_writeMiss,1_missRate,1_writeBacks,1_ccTransfers,1_memTraffic,1_interventions,1_invalidations,1_flushes,1_busRdX,ProcNum,2_read,2_readMiss,2_write,2_writeMiss,2_missRate,2_writeBacks,2_ccTransfers,2_memTraffic,2_interventions,2_invalidations,2_flushes,2_busRdX,ProcNum,3_read,3_readMiss,3_write,3_writeMiss,3_missRate,3_writeBacks,3_ccTransfers,3_memTraffic,3_interventions,3_invalidations,3_flushes,3_busRdX,ProcNum,4_read,4_readMiss,4_write,4_writeMiss,4_missRate,4_writeBacks,4_ccTransfers,4_memTraffic,4_interventions,4_invalidations,4_flushes,4_busRdX,Reads,ReadMisses,Writes,WriteMisses,MissRate,WriteBacks,CcTransfers,MemoryTraffic,Interventions,Invalidations,Flushes,BusRdX
MSI,262144,8,64,  0  ,112661,5775,11942,39,4.670000,254,0,6745,68,2014,113,716,  1  ,110830,5805,11710,41,4.770000,235,0,6740,47,2034,92,700,  2  ,114938,5771,12383,42,4.570000,278,0,6774,81,2008,120,725,  3  ,113428,5813,12108,39,4.660000,234,0,6761,63,2020,88,714,451857.000000,23164.000000,48143.000000,161.000000,4.667500,1001.000000,0.000000,27020.000000,259.000000,8076.000000,413.000000,2855.000000
MSI,524288,8,64,  0  ,112661,5757,11942,39,4.650000,190,0,6663,71,2014,116,716,  1  ,110830,5792,11710,41,4.760000,170,0,6662,47,2034,92,700,  2  ,114938,5756,12383,42,4.550000,205,0,6686,82,2008,121,725,  3  ,113428,5796,12108,39,4.650000,171,0,6681,63,2020,88,714,451857.000000,23101.000000,48143.000000,161.000000,4.652500,736.000000,0.000000,26692.000000,263.000000,8076.000000,417.000000,2855.000000
MSI,1048576,8,64,  0  ,112661,5752,11942,39,4.650000,170,0,6638,71,2014,116,716,  1  ,110830,5781,11710,41,4.750000,155,0,6636,48,2034,93,700,  2  ,114938,5752,12383,42,4.550000,186,0,6663,82,2008,121,725,  3  ,113428,5790,12108,39,4.640000,157,0,6661,64,2020,89,714,451857.000000,23075.000000,48143.000000,161.000000,4.647500,668.000000,0.000000,26598.000000,265.000000,8076.000000,419.000000,2855.000000
MSI,2097152,8,64,  0  ,112661,5750,11942,39,4.650000,166,0,6632,71,2014,116,716,  1  ,110830,5779,11710,41,4.750000,143,0,6622,48,2034,93,700,  2  ,114938,5751,12383,42,4.550000,176,0,6652,82,2008,121,725,  3  ,113428,5789,12108,39,4.640000,152,0,6655,64,2020,89,714,451857.000000,23069.000000,48143.000000,161.000000,4.647500,637.000000,0.000000,26561.000000,265.000000,8076.000000,419.000000,2855.000000
MESI,262144,8,64,  0  ,112661,5775,11942,39,4.670000,254,4405,1663,1468,2014,113,39,  1  ,110830,5805,11710,41,4.770000,235,4441,1640,1432,2034,92,41,  2  ,114938,5771,12383,42,4.570000,278,4406,1685,1469,2008,120,42,  3  ,113428,5813,12108,39,4.660000,234,4411,1675,1479,2020,88,39,451857.000000,23164.000000,48143.000000,161.000000,4.667500,1001.000000,17663.000000,6663.000000,5848.000000,8076.000000,413.000000,161.000000
MESI,524288,8,64,  0  ,112661,5757,11942,39,4.650000,190,4392,1594,1466,2014,116,39,  1  ,110830,5792,11710,41,4.760000,170,4431,1572,1429,2034,92,41,  2  ,114938,5756,12383,42,4.550000,205,4396,1607,1465,2008,121,42,  3  ,113428,5796,12108,39,4.650000,171,4400,1606,1474,2020,88,39,451857.000000,23101.000000,48143.000000,161.000000,4.652500,736.000000,17619.000000,6379.000000,5834.000000,8076.000000,417.000000,161.000000
MESI,1048576,8,64,  0  ,112661,5752,11942,39,4.650000,170,4389,1572,1464,2014,116,39,  1  ,110830,5781,11710,41,4.750000,155,4422,1555,1428,2034,93,41,  2  ,114938,5752,12383,42,4.550000,186,4393,1587,1464,2008,121,42,  3  ,113428,5790,12108,39,4.640000,157,4395,1591,1474,2020,89,39,451857.000000,23075.000000,48143.000000,161.000000,4.647500,668.000000,17599.000000,6305.000000,5830.000000,8076.000000,419.000000,161.000000
MESI,2097152,8,64,  0  ,112661,5750,11942,39,4.650000,166,4387,1568,1464,2014,116,39,  1  ,110830,5779,11710,41,4.750000,143,4420,1543,1428,2034,93,41,  2  ,114938,5751,12383,42,4.550000,176,4392,1577,1464,2008,121,42,  3  ,113428,5789,12108,39,4.640000,152,4394,1586,1474,2020,89,39,451857.000000,23069.000000,48143.000000,161.000000,4.647500,637.000000,17593.000000,6274.000000,5830.000000,8076.000000,419.000000,161.000000
DRAGON,262144,8,64,  0  ,112661,5635,11942,3,4.520000,226,0,5864,1405,0,3,0,  1  ,110830,5646,11710,2,4.610000,243,0,5891,1396,0,9,0,  2  ,114938,5644,12383,2,4.430000,232,0,5878,1398,0,6,0,  3  ,113428,5652,12108,0,4.500000,234,0,5886,1429,0,9,0,451857.000000,22577.000000,48143.000000,7.000000,4.515000,935.000000,0.000000,23519.000000,5628.000000,0.000000,27.000000,0.000000
DRAGON,524288,8,64,  0  ,112661,5601,11942,3,4.500000,128,0,5732,1400,0,3,0,  1  ,110830,5610,11710,2,4.580000,127,0,5739,1388,0,9,0,  2  ,114938,5610,12383,2,4.410000,135,0,5747,1389,0,6,0,  3  ,113428,5617,12108,0,4.470000,141,0,5758,1418,0,6,0,451857.000000,22438.000000,48143.000000,7.000000,4.490000,531.000000,0.000000,22976.000000,5595.000000,0.000000,24.000000,0.000000
DRAGON,1048576,8,64,  0  ,112661,5595,11942,3,4.490000,107,0,5705,1398,0,3,0,  1  ,110830,5604,11710,2,4.570000,110,0,5716,1387,0,9,0,  2  ,114938,5604,12383,2,4.400000,105,0,5711,1387,0,6,0,  3  ,113428,5611,12108,0,4.470000,123,0,5734,1417,0,6,0,451857.000000,22414.000000,48143.000000,7.000000,4.482500,445.000000,0.000000,22866.000000,5589.000000,0.000000,24.000000,0.000000
DRAGON,2097152,8,64,  0  ,112661,5591,11942,3,4.490000,102,0,5696,1396,0,3,0,  1  ,110830,5603,11710,2,4.570000,105,0,5710,1387,0,9,0,  2  ,114938,5601,12383,2,4.400000,98,0,5701,1387,0,6,0,  3  ,113428,5608,12108,0,4.470000,121,0,5729,1416,0,6,0,451857.000000,22403.000000,48143.000000,7.000000,4.482500,426.000000,0.000000,22836.000000,5586.000000,0.000000,24.000000,0.000000
